propid,name,simbad,title,bibcode,author,fa,altnames
15469,2MASS-J00041112-4721382,WASP-96,climate of an ultra hot jupiter. spectroscopic phase curve of wasp-18b with hst/wfc3,2019A&A...625A.136A,"['Arcangeli, Jacob', 'Désert, Jean-Michel', 'Parmentier, Vivien', 'Stevenson, Kevin B.', 'Bean, Jacob L.', 'Line, Michael R.', 'Kreidberg, Laura', 'Fortney, Jonathan J.', 'Showman, Adam P.']",Arcangeli Jacob,"['1SWASP J000411.14-472138.2' '2MASS J00041112-4721382'
 'Gaia DR2 4990044668377961984' 'TIC 160148385' 'WASP-96']"
15469,2MASS-J00041112-4721382,WASP-96,"on the compatibility of ground-based and space-based data: wasp-96 b, an example",2021AJ....161....4Y,"['Yip, Kai Hou', 'Changeat, Quentin', 'Edwards, Billy', 'Morvan, Mario', 'Chubb, Katy L.', 'Tsiaras, Angelos', 'Waldmann, Ingo P.', 'Tinetti, Giovanna']",Hou Kai Yip,"['1SWASP J000411.14-472138.2' '2MASS J00041112-4721382'
 'Gaia DR2 4990044668377961984' 'TIC 160148385' 'WASP-96']"
15469,2MASS-J00041112-4721382,WASP-96,wfc3: precision infrared spectrophotometry with spatial scans of hd 189733b and vega,2014AAS...22334721M,"['McCullough, Peter R.', 'Crouzet, N.', 'Deming, D.', 'Madhusudhan, N.', 'Deustua, S. E.', 'WFC3']",McCullough Peter R.,"['1SWASP J000411.14-472138.2' '2MASS J00041112-4721382'
 'Gaia DR2 4990044668377961984' 'TIC 160148385' 'WASP-96']"
15469,2MASS-J00041112-4721382,WASP-96,wide field camera 3: phase ii proposal update for cycle 21,2013AAS...22231612G,"['Gunning, Heather C.', 'Anderson, J.', 'Baggett, S. M.', 'Dahlen, T.', 'Dressel, L. L.', 'Long, K. S.', 'MacKenty, J. W.', 'WFC3']",C. Gunning Heather,"['1SWASP J000411.14-472138.2' '2MASS J00041112-4721382'
 'Gaia DR2 4990044668377961984' 'TIC 160148385' 'WASP-96']"
15469,2MASS-J00041112-4721382,WASP-96,status and calibration of the hst wide field camera 3,2013AAS...22134401M,"['MacKenty, John W.', 'WFC3']",John MacKenty W.,"['1SWASP J000411.14-472138.2' '2MASS J00041112-4721382'
 'Gaia DR2 4990044668377961984' 'TIC 160148385' 'WASP-96']"
15469,2MASS-J00041112-4721382,WASP-96,wfc3 - geometry distortion and multidrizzle,2010AAS...21546309K,"['Kozhurina-Platais, Vera', 'McLean, B.', 'Cox, C.', 'Dressel, L.', 'Petro, L.', 'Bushouse, H.', 'Hack, W.', 'WFC3']",Kozhurina-Platais Vera,"['1SWASP J000411.14-472138.2' '2MASS J00041112-4721382'
 'Gaia DR2 4990044668377961984' 'TIC 160148385' 'WASP-96']"
15469,2MASS-J00041112-4721382,WASP-96,characterizing a new prototype saturn-mass exoplanet with the clearest atmosphere yet,2018hst..prop15469N,"['Nikolov, Nikolay', 'Evans, Thomas M.', 'Spake, Jessica', 'Goyal, Jayesh', 'Drummond, Ben', 'Wakeford, Hannah R.', 'Fortney, Jonathan', 'Kataria, Tiffany', 'Ballester, Gilda E.', 'Gibson, Neale', 'Carter, Aarynn', 'Sing, David K.', 'Mayne, Nathan J.']",Nikolay Nikolov,"['1SWASP J000411.14-472138.2' '2MASS J00041112-4721382'
 'Gaia DR2 4990044668377961984' 'TIC 160148385' 'WASP-96']"
13660,2MASS-J16371556+0711000,WASP-103,high-precision multiwavelength eclipse photometry of the ultra-hot gas giant exoplanet wasp-103 b,2018MNRAS.474.2334D,"['Delrez, L.', 'Madhusudhan, N.', 'Lendl, M.', 'Gillon, M.', 'Anderson, D. R.', 'Neveu-VanMalle, M.', 'Bouchy, F.', 'Burdanov, A.', 'Collier-Cameron, A.', 'Demory, B. -O.', 'Hellier, C.', 'Jehin, E.', 'Magain, P.', 'Maxted, P. F. L.', 'Queloz, D.', 'Smalley, B.', 'Triaud, A. H. M. J.']",Delrez L.,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
13660,2MASS-J16371556+0711000,WASP-103,estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression,2019MNRAS.489..941P,"['Pass, Emily K.', 'Cowan, Nicolas B.', 'Cubillos, Patricio E.', 'Sklar, Jack G.']",Emily K. Pass,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
13660,2MASS-J16371556+0711000,WASP-103,ground-based transmission spectroscopy with fors2: a featureless optical transmission spectrum and detection of h<sub>2</sub>o for the ultra-hot jupiter wasp-103b,2020MNRAS.497.5155W,"['Wilson, Jamie', 'Gibson, Neale P.', 'Nikolov, Nikolay', 'Constantinou, Savvas', 'Madhusudhan, Nikku', 'Goyal, Jayesh', 'Barstow, Joanna K.', 'Carter, Aarynn L.', 'de Mooij, Ernst J. W.', 'Drummond, Benjamin', 'Mikal-Evans, Thomas', 'Helling, Christiane', 'Mayne, Nathan J.', 'Sing, David K.']",Jamie Wilson,"['1SWASP J163715.59+071100.0' '2MASS J16371556+0711000'
 'Gaia DR2 4439085988769170432' 'SPOCS 3254' 'TIC 276754403' 'WASP-103']"
