simbad,propid,name,pi_l,pi_f,date,ra,dec,mode,nfiles,title,bibcode,altnames,simbad,jd
LS   V +52   21,11926,G191B2B,Deustua,Susana,2010-08-09,76.37755,52.83109444444,WFC3 IR G141,26,"['ultralytics/yolov5: v5.0 - yolov5-p6 1280 models, aws, supervise.ly and youtube integrations', 'impact of $^7$be breakup on $^7$li(p,n) neutron spectrum', 'a calibration of nicmos camera 2 for low count rates']","['2021zndo...3908559J', '2021arXiv210801382V', '2015AJ....149..159R']","['** WNO   44B' '1RXS J050525.8+524913' '1SWASP J050530.60+524951.9'
 '2EUVE J0505+52.8' '2MASS J05053062+5249519' '2RE J0505+524'
 '2RE J050530+524941' 'ALS  8157' 'BD+52   913' 'EGGR 247'
 'EUVE J0505+52.8' 'FB  44' 'G 191-2B' 'G 191-B2B' 'GCRV 21703'
 'Gaia DR2 266077145295627520' 'HIC  23692' 'HIP  23692' 'LS   V +52   21'
 'RE J0505+52' 'RE J0505+524' 'RE J050530+524929' 'RX J0505.5+5250'
 'TIC 327587572' 'TYC 3734-2324-1' 'USNO 122' 'VVO 366' 'WD 0501+524'
 'WD 0501+527' 'WDS J05055+5249B' '[SPB96]  679'
 '[VKN2011] J050530.7+524950' 'uvby98 005200913']",LS   V +52   21,2455417.5
HAT-P-13,12181,HAT-13,Deming,Drake,2010-09-08,129.8823895891,47.35194585103,WFC3 IR G141,200,,,,,2455447.5
WASP-12,12181,WASP-12,Deming,Drake,2010-10-10,97.63666666667,29.67222222222,WFC3 IR G141,28,"['exoplanet transit spectroscopy using wfc3: wasp-12 b, wasp-17 b, and wasp-19 b', 'the atmospheric circulation of the hot jupiter wasp-43b: comparing three-dimensional models to spectrophotometric data', 'transmission spectroscopy of the hot jupiter wasp-12b from 0.7 to 5 μm', 'from thermal dissociation to condensation in the atmospheres of ultra hot jupiters: wasp-121b in context', 'probing the extreme planetary atmosphere of wasp-12b', 'estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression', 'the complete transmission spectrum of wasp-39b with a precise water constraint', 'a photochemical model for the carbon-rich planet wasp-12b', 'a new approach to spectroscopic phase curves. the emission spectrum of wasp-12b observed in quadrature with hst/wfc3']","['2013ApJ...779..128M', '2015ApJ...801...86K', '2014AJ....147..161S', '2018A&A...617A.110P', '2013Icar..225..432S', '2019MNRAS.489..941P', '2018AJ....155...29W', '2012ApJ...745...77K', '2021A&A...646A..94A']","['2MASS J06303279+2940202' 'Gaia DR1 3435282862461427072'
 'Gaia DR2 3435282862461427072' 'NAME Bergfors-6' 'SPOCS 2670'
 'TIC 86396382' 'TYC 1891-1178-1' 'UCAC2  42216354' 'WASP-12']",WASP-12,2455479.5
GJ  4130,11740,HD-189733,Pont,Frederic,2010-11-10,300.1821201091,22.71011413196,WFC3 IR G141,216,,,,,2455510.5
TIC 116264089,12181,TRES-3,Deming,Drake,2011-03-02,268.0290786395,37.54626593382,WFC3 IR G141,220,,,,,2455622.5
WASP-12,12230,WASP-12,Swain,Mark,2011-04-16,97.63663914337,29.67227834798,WFC3 IR G141,1160,"['exoplanet transit spectroscopy using wfc3: wasp-12 b, wasp-17 b, and wasp-19 b', 'the atmospheric circulation of the hot jupiter wasp-43b: comparing three-dimensional models to spectrophotometric data', 'transmission spectroscopy of the hot jupiter wasp-12b from 0.7 to 5 μm', 'from thermal dissociation to condensation in the atmospheres of ultra hot jupiters: wasp-121b in context', 'probing the extreme planetary atmosphere of wasp-12b', 'estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression', 'the complete transmission spectrum of wasp-39b with a precise water constraint', 'a photochemical model for the carbon-rich planet wasp-12b', 'a new approach to spectroscopic phase curves. the emission spectrum of wasp-12b observed in quadrature with hst/wfc3']","['2013ApJ...779..128M', '2015ApJ...801...86K', '2014AJ....147..161S', '2018A&A...617A.110P', '2013Icar..225..432S', '2019MNRAS.489..941P', '2018AJ....155...29W', '2012ApJ...745...77K', '2021A&A...646A..94A']","['2MASS J06303279+2940202' 'Gaia DR1 3435282862461427072'
 'Gaia DR2 3435282862461427072' 'NAME Bergfors-6' 'SPOCS 2670'
 'TIC 86396382' 'TYC 1891-1178-1' 'UCAC2  42216354' 'WASP-12']",WASP-12,2455667.5
WASP-18,12181,WASP-18,Deming,Drake,2011-06-25,24.3542951401,-45.67788744741,WFC3 IR G141,312,"['estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression', 'climate of an ultra hot jupiter. spectroscopic phase curve of wasp-18b with hst/wfc3', 'h- and dissociation in ultra-hot jupiters: a retrieval case study of wasp-18b', 'secondary eclipses of wasp-18b - near-infrared observations with the anglo-australian telescope, the magellan clay telescope and the lcogt network', 'atmospheric characterization of giant exoplanets in extreme environments']","['2019MNRAS.489..941P', '2019A&A...625A.136A', '2020AJ....159..232G', '2019MNRAS.483.5110K', '2017PhDT.......144W']","['2MASS J01372503-4540404' 'CD-46   449' 'CPC  0   759' 'CPD-46   168'
 'GEN# +1.00010069' 'GSC 08040-00072' 'Gaia DR1 4955371363037611136'
 'Gaia DR2 4955371367334610048' 'HD  10069' 'HIC   7562' 'HIP   7562'
 'PPM 306061' 'RAVE J013725.0-454040' 'SAO 215585' 'SPOCS 2511'
 'TIC 100100827' 'TOI-185' 'TYC 8040-72-1' 'UBV    1689' 'WASP-18'
 'WASP-18A' '[CS62] E1  13']",WASP-18,2455737.5
WASP-19,12181,WASP-19,Deming,Drake,2011-07-01,148.4168122575,-45.65914174561,WFC3 IR G141,550,"['exoplanet transit spectroscopy using wfc3: wasp-12 b, wasp-17 b, and wasp-19 b', 'an hst optical-to-near-ir transmission spectrum of the hot jupiter wasp-19b: detection of atmospheric water and likely absence of tio', 'the atmospheric circulation of the hot jupiter wasp-43b: comparing three-dimensional models to spectrophotometric data', 'access: a featureless optical transmission spectrum for wasp-19b from magellan/imacs', 'a population study of gaseous exoplanets']","['2013ApJ...779..128M', '2013MNRAS.434.3252H', '2015ApJ...801...86K', '2019MNRAS.482.2065E', '2018AJ....155..156T']","['2MASS J09534008-4539330' 'ASTEP A-009-1934-2269' 'ASTEP V-0161'
 'GSC 08181-01711' 'GSC2 S1302222242' 'GSC2.3 S5NU000242'
 'Gaia DR2 5411736896952029568' 'SPOCS 2745' 'TIC 35516889' 'TOI-655'
 'UCAC2  12190908' 'UCAC3 89-92022' 'UCAC4 222-041382'
 'USNO-B1.0 0443-00193111' 'WASP-19']",WASP-19,2455743.5
WASP-17,12181,WASP-17,Deming,Drake,2011-07-08,239.96226303,-28.06178518634,WFC3 IR G141,132,"['exoplanet transit spectroscopy using wfc3: wasp-12 b, wasp-17 b, and wasp-19 b', 'the transmission spectrum of wasp-17 b from the optical to the near-infrared wavelengths: combining stis, wfc3 and irac datasets', 'transmission spectroscopy of the hot-jupiter wasp-79b from 0.6 to 1.7 μm']","['2013ApJ...779..128M', '2021arXiv210813721S', '2018AGUFM.P44B..07S']","['1SWASP J155950.94-280342.3' '2MASS J15595095-2803422' 'CD-27 10695'
 'DENIS J155950.9-280342' 'GSC 06787-01927' 'Gaia DR1 6042793001473655936'
 'Gaia DR2 6042793005779654656' 'NAME Diwo' 'SPOCS 2912' 'TIC 66818296'
 'TYC 6787-1927-1' 'UCAC2  20178691' 'USNO-B1.0 0619-00419495' 'WASP-17']",WASP-17,2455750.5
HAT-P-7,12181,HAT-7,Deming,Drake,2011-07-18,292.2472735992,47.96957261136,WFC3 IR G141,880,"['the influence of nonuniform cloud cover on transit transmission spectra', 'estimating dayside effective temperatures of hot jupiters and associated uncertainties through gaussian process regression', 'the hubble pancet program: a metal-rich atmosphere for the inflated hot jupiter hat-p-41b', 'diagnosing clouds and hazes in exoplanet atmospheres', 'an hst/wfc3 thermal emission spectrum of the hot jupiter hat-p-7b', 'atmospheric characterization of giant exoplanets in extreme environments']","['2016ApJ...820...78L', '2019MNRAS.489..941P', '2021AJ....161...51S', '2015PhDT........66F', '2018AJ....156...10M', '2017PhDT.......144W']","['2MASS J19285935+4758102' 'AG+47 1439' 'BD+47  2846' 'GSC 03547-01402'
 'Gaia DR1 2129256390911665920' 'Gaia DR2 2129256395211984000' 'HAT-P-7'
 'KIC 10666592' 'KOI-2' 'Kepler-2' 'PPM  58383' 'SPOCS 4118'
 'TIC 424865156' 'TYC 3547-1402-1']",HAT-P-7,2455760.5
