name,propid,pi_l,pi_f,date,ra,dec,mode,nfiles,simbad
2MASS-J00041112-4721382,15469,Nikolov,Nikolay,2018-12-28,1.046529901205,-47.36060548087,WFC3 IR G141,170,WASP-96
2MASS-J16371556+0711000,13660,Zhao,Ming,2015-06-17,249.3148666667,7.183352777778,WFC3 IR G141,238,WASP-103
2MASS-J16371556+0711000,14050,Kreidberg,Laura,2015-08-03,249.3148666667,7.183352777778,WFC3 IR G141,536,WASP-103
2MASS-J19432996+5059289,15685,Vanderburg,Andrew,2019-05-05,295.8748694226,50.99141426932,WFC3 IR G141,344,KIC 12266812
2MASS-J23062928-0502285,14873,de Wit,Julien,2017-01-10,346.6265416667,-5.043583333333,WFC3 IR G141,360,TRAPPIST-1
55-CANCRI,13665,Benneke,Bjorn,2015-12-13,133.1468194471,28.32978915069,WFC3 IR G141,282,GJ   324 A
55-CNC,14453,Dragomir,Diana,2016-04-13,133.1467034313,28.32977133636,WFC3 IR G141,608,GJ   324 A
BD-02-5958,15333,Crossfield,Ian,2020-01-08,351.7722219973,-1.285074056677,WFC3 IR G141,523,K2-135
CD-38-15670,16457,Edwards,Billy,2021-06-12,358.669393057,-37.6283402743,WFC3 IR G141,69,LTT  9779
CD-50-714,15301,Carone,Ludmila,2019-09-22,36.775405,-50.28454166667,WFC3 IR G141,223,WASP-117
COROT-2,12181,Deming,Drake,2011-09-23,291.7770674337,1.383694930761,WFC3 IR G141,825,CoRoT 101206560
EPIC-2037B,14455,Petigura,Erik,2016-07-05,242.5734017477,-24.99063322564,WFC3 IR G141,188,K2-24
EPIC201912552,13665,Benneke,Bjorn,2016-05-19,172.5600532846,7.5877867586,WFC3 IR G141,285,K2-18
G191B2B,11926,Deustua,Susana,2010-08-09,76.37755,52.83109444444,WFC3 IR G141,26,LS   V +52   21
GJ-1214,13021,Bean,Jacob,2013-08-20,258.8310290207,4.96125173171,WFC3 IR G141,1145,GJ  1214
GJ-3053,14888,Dittmann,Jason,2017-12-15,11.2487087443,-15.27449201423,WFC3 IR G141,237,GJ  3053
GJ-3470,13064,Ehrenreich,David,2013-02-07,119.7737937212,15.39133833283,WFC3 IR G141,360,GJ  3470
GJ-3470,13665,Benneke,Bjoern,2015-10-22,119.7736961513,15.39130946159,WFC3 IR G141,228,GJ  3470
GJ-436,11622,Knutson,Heather,2013-01-02,175.5494900896,26.70365716946,WFC3 IR G141,480,GJ   436
GSC-04980-00761,14169,Wakeford,Hannah,2016-07-08,217.3266411676,-3.444481113805,WFC3 IR G102,85,WASP-39
HAT-13,12181,Deming,Drake,2010-09-08,129.8823895891,47.35194585103,WFC3 IR G141,200,HAT-P-13
HAT-1C,12473,Sing,David,2012-07-05,344.4432721017,38.67429776104,WFC3 IR G141,112,TIC 346338553
HAT-7,12181,Deming,Drake,2011-07-18,292.2472735992,47.96957261136,WFC3 IR G141,880,HAT-P-7
HAT-P-11,12449,Deming,Drake,2012-12-16,297.7096020075,48.08110998868,WFC3 IR G141,214,HAT-P-11
HAT-P-11,14793,Bean,Jacob,2016-12-26,297.7102638156,48.08194938398,WFC3 IR G102,513,HAT-P-11
HAT-P-12,14260,Deming,Drake,2016-08-31,209.388777398,43.4933594611,WFC3 IR G141,160,HAT-P-12
HAT-P-17,12956,Huitson,Catherine,2013-11-24,324.5360376165,30.48824599816,WFC3 IR G141,100,HAT-P-17
HAT-P-18,14099,Mikal-Evans,Thomas,2015-10-30,256.3463508215,33.01229733517,WFC3 IR G141,99,HAT-P-18
