planet,text,url
GJ436,Knutson2014.txt,https://www.dropbox.com/s/by9pb02l8305rte/GJ436b_transmission_Knutson2014.txt?dl=1
GJ436,Lothringer2018.txt,https://www.dropbox.com/s/tyywz1zc7ko0pwz/GJ436b_transmission_Lothringer2018.txt?dl=1
GJ1214,Bean2011.txt,https://www.dropbox.com/s/e6d2rdf3ns3smsx/GJ1214b_transmission_Bean2011.txt?dl=1
GJ1214,Berta2012.txt,https://www.dropbox.com/s/tp6b5qk6gb1uxvy/GJ1214b_transmission_Berta2012.txt?dl=1
GJ1214,Kreidberg2014.txt,https://www.dropbox.com/s/iwsi6qrjhi39gmh/GJ1214b_transmission_Kreidberg2014.txt?dl=1
GJ3470,Benneke2019.txt,https://www.dropbox.com/s/9lsqfvek653hwnv/GJ3470b_transmission_Benneke2019.txt?dl=1
HAT-P-1,Sing2016.txt,https://www.dropbox.com/s/uzc1esd59f5u514/HAT-P-1b_transmission_Sing2016.txt?dl=1
HAT-P-11,Fraine2014.txt,https://www.dropbox.com/s/h1dmzhgkh68e2ub/HAT-P-11b_transmission_Fraine2014.txt?dl=1
HAT-P-11,Chachan2019.txt,https://www.dropbox.com/s/elfvtjdst5dxaqx/HAT-P-11b_transmission_Chachan2019.txt?dl=1
HAT-P-12,Sing2016.txt,https://www.dropbox.com/s/8bu2xv2h0bv3178/HAT-P-12b_transmission_Sing2016.txt?dl=1
HAT-P-12,Wong2020.txt,https://www.dropbox.com/s/wurx1nvzredq32q/HAT-P-12b_transmission_Wong2020.txt?dl=1
HAT-P-26,Wakeford2017.txt,https://www.dropbox.com/s/7go2wap3gg8h531/HAT-P-26b_transmission_Wakeford2017.txt?dl=1
HAT-P-32,Alam2020.txt,https://www.dropbox.com/s/v6dwdep2ydz7cxu/HAT-P-32b_transmission_Alam2020.txt?dl=1
HAT-P-38,Bruno2018.txt,https://www.dropbox.com/s/nsvj5ptszu6datx/HAT-P-38b_transmission_Bruno2018.txt?dl=1
HAT-P-41,wakeford2020.txt,https://www.dropbox.com/s/46r4z1jftddvzw9/HAT-P-41b_transmission-jitter_wakeford2020.txt?dl=1
HAT-P-41,wakeford2020.txt?dl,https://www.dropbox.com/s/fbmvq3k27siaq5r/HAT-P-41b_transmission-marginalisation_wakeford2020.txt?dl=1
HD97658,Knutson2014.txt,https://www.dropbox.com/s/6e9zzqfmw7e2xga/HD97658_transmission_Knutson2014.txt?dl=1
HD189733,Sing2016.txt,https://www.dropbox.com/s/q22i8nrj6rw96m1/HD189733b_transmission_Sing2016.txt?dl=1
HD209458,Sing2016.txt,https://www.dropbox.com/s/3u1fpa1ho96t5yc/HD209458b_transmission_Sing2016.txt?dl=1
K2-18,Benneke2019.txt,https://www.dropbox.com/s/3b7fkha193slpt1/K2-18b_transmission_Benneke2019.txt?dl=1
Kepler-51b,libbyRoberts2020.txt,https://www.dropbox.com/s/gr8d81uy85lf2de/Kepler-51b_transmission_libbyRoberts2020.txt?dl=1
Kepler-51d,LibbyRoberts2020.txt,https://www.dropbox.com/s/c0hc5w6ekynvpth/Kepler-51d_transmission_LibbyRoberts2020.txt?dl=1
TRAPPIST-1b,deWit2016.txt,https://www.dropbox.com/s/exkeznvwvu2mxd6/TRAPPIST-1b_transmission_deWit2016.txt?dl=1
